id,avg_reward_route_0,avg_reward_route_1,avg_reward_route_2
66,-17.305555555555557,-17.479166666666664,-18.877777777777776
67,-14.896666666666667,-15.25,-16.349999999999998
68,-29.027777777777775,-29.123333333333328,-30.741666666666667
69,-19.34583333333333,-19.677777777777777,-21.08888888888889
70,-9.2,-9.483333333333334,-11.0
71,-10.855555555555554,-11.016666666666666,-12.612499999999999
72,-11.572222222222223,-11.850000000000001,-13.225000000000001
73,-26.95,-26.825,-28.295833333333334
74,-22.466666666666665,-22.779166666666665,-24.224999999999998
75,-27.655555555555555,-27.991666666666667,-29.65
76,-15.5,-15.658333333333333,-17.37222222222222
77,-23.477777777777778,-23.79,-25.541666666666664
78,-27.594444444444445,-28.03333333333333,-29.433333333333334
79,-17.45952380952381,-17.7,-19.28333333333333
80,-25.758333333333333,-26.049999999999997,-27.641666666666666
81,-12.845833333333333,-13.061111111111112,-14.266666666666666
82,-16.822222222222223,-16.991666666666667,
83,-16.203333333333333,-16.59166666666667,-17.994444444444444
84,-10.933333333333334,-11.116666666666667,-12.72777777777778
85,-25.645833333333332,-26.038888888888888,-26.994444444444444
86,-15.116666666666667,-15.372222222222222,-16.641666666666666
87,-21.006666666666668,-21.466666666666665,-22.95
88,-26.541666666666664,-26.770833333333332,-28.1625
89,-26.683333333333334,-26.829166666666666,-28.305555555555554
90,-28.279999999999994,-28.674999999999997,-30.083333333333332
91,-19.53333333333333,-19.75,-21.279166666666665
92,,-16.17222222222222,-17.78333333333333
93,-20.299999999999997,-20.604166666666664,-22.188888888888886
94,-7.9375,-8.105555555555556,-9.733333333333334
95,-8.608333333333334,-8.95,-10.383333333333333
96,-9.691666666666666,-9.905555555555555,-11.393333333333334
97,-11.891666666666666,-12.205555555555556,-13.875
98,-24.991666666666667,-24.895833333333332,-26.091666666666665
99,-11.433333333333334,-11.353333333333333,-12.966666666666667
100,-17.35,-17.755555555555556,-19.416666666666668
101,-31.72,-31.825,-33.422222222222224
102,-16.40416666666667,-16.905555555555555,-18.138888888888886
103,-28.016666666666666,-28.133333333333333,-29.49
104,-12.100000000000001,-12.2,-13.75
105,-17.608333333333334,-18.25,-19.366666666666667
106,-11.16,-11.058333333333334,-12.65
107,-18.127777777777776,-18.25,-19.906666666666666
108,-28.444444444444443,-28.916666666666668,-30.347222222222218
109,-8.479166666666666,-8.922222222222222,-10.38888888888889
110,-25.78333333333333,-25.896666666666665,-27.22083333333333
111,-22.87222222222222,-23.0,-24.33888888888889
112,-14.075,-13.929166666666667,-15.675
113,-8.033333333333333,-7.966666666666667,-9.6375
114,-20.688888888888886,-20.875,-22.225
115,-14.6125,-14.988888888888889,-16.288888888888888
116,-22.833333333333332,-23.299999999999997,-24.566666666666666
117,-19.566666666666663,-20.023809523809522,
118,-30.849999999999998,-30.466666666666665,-32.29666666666667
119,-18.28333333333333,-18.119999999999997,-19.758333333333333
120,-10.783333333333333,-10.916666666666666,-12.613333333333333
121,-21.683333333333334,-21.708333333333336,-23.1875
122,-23.729166666666664,-23.933333333333334,-25.333333333333332
123,-30.48333333333333,-30.954166666666666,-32.53333333333333
124,-29.53888888888889,-29.91111111111111,-31.304166666666664
125,-25.77916666666667,-26.05,-27.672222222222217
126,-31.11111111111111,-31.305555555555554,-32.62083333333333
127,-9.808333333333334,-10.274999999999999,-11.454166666666667
128,-13.619444444444445,-13.866666666666667,-15.483333333333334
129,,-11.616666666666667,-12.916666666666666
130,-16.333333333333336,-16.509999999999998,-18.155555555555555
131,-8.626666666666667,-8.708333333333332,-10.316666666666668
132,-27.311111111111106,-27.695833333333333,-29.23888888888889
133,,-18.83333333333333,-20.0962962962963
134,-9.358333333333333,-9.666666666666666,-11.033333333333331
135,-11.011111111111111,-11.261111111111111,-12.4625
136,-24.933333333333334,-25.349999999999998,-26.772222222222222
137,-28.105555555555554,-28.311111111111114,-29.9625
