agent_id,mean_across_runs,std_across_runs,min_across_runs,max_across_runs,best_run,worst_run
202,21.403333333333332,0.9637455865297404,20.466666666666665,22.58333333333333,Run 5,Run 4
203,28.77333333333333,0.7518126244099823,27.766666666666662,29.866666666666667,Run 5,Run 1
204,9.3,0.8085480814398118,8.7,10.266666666666667,Run 2,Run 5
205,20.75,0.90084836558534,19.85,21.666666666666668,Run 1,Run 2
206,11.753333333333334,0.42498365981659936,11.366666666666667,12.35,Run 2,Run 4
207,9.953333333333333,0.7659779515248617,9.316666666666666,11.216666666666669,Run 1,Run 5
208,12.606666666666666,0.7330112929249833,11.966666666666669,13.75,Run 1,Run 3
209,17.74,0.8127969542812579,16.9,18.85,Run 4,Run 2
210,29.630000000000003,0.7563986309406512,28.96666666666666,30.85,Run 3,Run 5
211,8.690000000000001,0.9292768992908172,7.45,9.55,Run 5,Run 4
212,20.74,0.8008328997570799,20.183333333333334,22.133333333333333,Run 1,Run 4
213,14.61,0.5528461710900158,14.033333333333331,15.51666666666667,Run 4,Run 2
214,17.9,0.9711819831753695,16.983333333333334,19.366666666666667,Run 4,Run 1
215,30.060000000000002,1.035119424135312,29.3,31.78333333333333,Run 1,Run 3
216,27.759999999999998,0.7261580789026265,26.95,28.46666666666666,Run 1,Run 3
217,30.77,0.871891303113206,30.116666666666667,32.28333333333333,Run 2,Run 4
218,19.633333333333333,1.058103649617246,18.433333333333334,20.6,Run 4,Run 1
219,14.186666666666667,0.8658168910854567,13.01666666666667,15.133333333333331,Run 2,Run 5
220,17.956666666666667,0.28249877089211506,17.583333333333332,18.3,Run 4,Run 1
221,24.22,1.1488158154281207,23.133333333333333,25.666666666666668,Run 1,Run 4
222,22.986666666666668,0.8997993603514555,21.433333333333334,23.766666666666666,Run 1,Run 4
223,10.036666666666667,0.8221246188315307,9.133333333333333,10.933333333333334,Run 3,Run 2
224,21.196666666666665,0.7947221736766481,20.33333333333333,22.416666666666668,Run 2,Run 3
225,25.25,1.209855363256286,23.933333333333334,26.35,Run 4,Run 3
226,32.733333333333334,0.8750396816398952,31.833333333333325,33.96666666666667,Run 2,Run 4
227,31.74333333333333,0.36450118122046293,31.45,32.31666666666667,Run 5,Run 4
228,11.593333333333335,0.8372076604204388,10.766666666666667,12.883333333333331,Run 1,Run 5
229,18.63,0.6909534475394605,18.066666666666663,19.45,Run 5,Run 4
230,8.786666666666667,0.8424831023692866,8.166666666666666,10.133333333333333,Run 2,Run 3
231,14.87,0.6937618867850517,14.25,16.016666666666666,Run 3,Run 4
232,24.813333333333333,0.93529555637658,23.766666666666666,25.96666666666666,Run 4,Run 3
233,31.106666666666666,0.9152716658032314,29.65,31.75,Run 1,Run 3
234,13.166666666666668,0.7428361566022191,12.25,14.26666666666667,Run 2,Run 5
235,14.223333333333334,1.0361922815985671,13.316666666666666,15.35,Run 3,Run 4
236,7.336666666666666,0.6717927921283134,6.75,8.483333333333333,Run 4,Run 3
237,19.893333333333334,0.7405515962218059,19.183333333333334,20.78333333333333,Run 5,Run 1
238,11.88,0.9447515840450099,10.766666666666667,12.933333333333334,Run 3,Run 5
239,15.660000000000002,0.8039485887376954,14.76666666666667,16.366666666666667,Run 5,Run 4
240,12.516666666666666,0.7061240054771617,11.9,13.7,Run 3,Run 1
241,20.48333333333333,0.6194755846681915,19.866666666666667,21.216666666666665,Run 5,Run 4
242,8.169999999999998,1.0726654236578674,7.2333333333333325,9.466666666666669,Run 3,Run 1
243,10.446666666666669,0.7009319193442086,9.933333333333334,11.333333333333334,Run 2,Run 3
244,32.61,0.8323827912151431,31.616666666666667,33.56666666666667,Run 5,Run 3
245,9.996666666666666,0.8766571609117085,8.716666666666667,10.7,Run 3,Run 5
246,10.406666666666666,0.7383916455528342,9.616666666666667,11.616666666666667,Run 1,Run 3
247,32.24999999999999,0.711121961722776,31.43333333333333,33.0,Run 1,Run 3
248,31.99666666666667,0.6512168097748502,31.45,33.05,Run 2,Run 5
249,10.48,0.7471612945007259,9.566666666666666,11.65,Run 5,Run 4
250,16.76666666666667,0.8726555894382253,16.016666666666666,18.23333333333333,Run 2,Run 5
251,24.816666666666666,0.7205322107072443,24.03333333333333,25.666666666666668,Run 3,Run 2
252,31.79,0.9737242365726009,30.583333333333325,32.93333333333333,Run 1,Run 5
253,12.153333333333332,0.8927485648266249,11.333333333333334,13.533333333333331,Run 3,Run 1
254,18.849999999999998,0.544926090809059,18.266666666666666,19.33333333333333,Run 3,Run 2
255,28.456666666666667,0.9654877869070466,27.366666666666667,29.53333333333333,Run 2,Run 4
256,26.75,0.6915160478574897,25.916666666666668,27.816666666666663,Run 4,Run 1
257,17.68,0.650363146420691,16.566666666666666,18.2,Run 4,Run 3
258,20.243333333333332,0.5210299628833479,19.883333333333333,21.116666666666667,Run 1,Run 3
259,9.580000000000002,0.792972607065059,8.483333333333333,10.466666666666669,Run 4,Run 1
260,19.146666666666665,0.3466907042948276,18.883333333333333,19.566666666666663,Run 3,Run 4
261,19.373333333333335,0.6612908252467715,18.6,19.866666666666667,Run 1,Run 5
262,25.806666666666665,1.0145880390034616,24.28333333333333,26.55,Run 4,Run 2
263,15.193333333333337,0.766177380100573,14.4,16.283333333333335,Run 1,Run 2
264,26.563333333333333,0.8969392398596465,25.5,27.633333333333333,Run 2,Run 3
265,30.013333333333332,0.9019577472242157,29.266666666666662,31.55,Run 4,Run 3
266,22.526666666666667,0.8855789067045353,21.78333333333333,24.016666666666666,Run 1,Run 2
